Data,Contagem de Minutos em movimento,Calorias (kcal),Distância (m),Pontos cardio,Minutos de cardio,Frequência cardíaca média (bpm),Frequência cardíaca máxima (bpm),Frequência cardíaca mínima (bpm),Velocidade média (m/s),Velocidade máxima (m/s),Velocidade mínima (m/s),Contagem de passos,Peso médio (kg),Peso máximo (kg),Peso mínimo (kg),Duração de Bicicleta (ms),Duração de Caminhada (ms),Duração de Corrida (ms),Duração de Outra (ms)
2023-12-18,11,1834.8942582452519,508.7896259117189,,,,,,0.4630772839481349,1.197967508704337,0.2609859994294643,965,,,,,452721,85013,
2023-12-19,,1785.7499999999998,63.93399807162712,,,,,,0.3766168530422169,0.7688564894494684,0.27186041607235867,256,,,,,,,
2023-12-20,10,1829.583013385417,516.3483353644425,,,,,,0.48423324171536175,1.2343762322347518,0.25011158278657,918,,,,,573410,,
2023-12-21,20,1858.179995476578,1197.003109541301,7.0,7,,,,0.7479616025646088,1.6072858366566611,0.30448366600104165,1772,,,,,947507,,
2023-12-22,,1791.0032958020836,85.8555246031672,,,,,,0.28902134744581914,0.3433052683077227,0.2609859994294643,309,,,,,68722,,
2023-12-23,17,1876.7045979688103,825.9413431651054,1.0,1,,,,0.57615947781661,1.2498153089799489,0.32623248410219113,1295,,,,,1189840,,
2023-12-24,23,1875.4052828104836,1286.5964444041733,4.0,4,,,,0.4275405404980201,1.2138356554377447,0.24894267379450027,2184,,,,,1172843,,
2023-12-25,4,1800.029268588542,215.96591452788172,,,,,,0.43654162824652165,0.7102465613105595,0.2591005172900118,501,,,,,186797,,
2023-12-26,34,1925.437939543905,1169.8612402222416,9.0,9,,,,0.509976414214663,1.1783815040516026,0.2582464845715406,1873,,,,608394,1178282,,
2023-12-27,8,1830.2490682344605,424.68848869432526,1.0,1,,,,0.38045759214732294,1.2747647851701043,0.31501355898750866,759,,,,,582124,,
2023-12-28,8,1829.4064953859386,398.539390242502,,,,,,0.4194163510514591,1.2673209211441294,0.282734832715253,680,,,,,571100,,
2023-12-29,18,1875.1059457239585,1064.9423615333776,8.0,8,,,,0.791030352322122,1.3521651607126965,0.26097795516096467,1629,,,,,1168927,,
2023-12-30,8,1809.0108281614584,418.6257859597706,3.0,3,,,,0.40413383708184236,1.3379738419309013,0.32623246768636655,747,,,,,304291,,
2023-12-31,,1785.75,28.708459937241074,,,,,,0.4368428932711036,0.5181254356248498,0.3555603509173574,302,,,,,,,
2024-01-01,1,1796.3330343125003,99.17467978319644,,,,,,0.49840234384834886,0.7402472959455836,0.27186041607235867,267,,,,,138444,,
2024-01-02,13,1859.6704861336182,634.4136521118966,,,,,,0.6479587066388458,1.6063909522819215,0.26740368987614455,1189,,,,,967006,,
2024-01-03,41,1960.8443814369816,2390.8228057738597,19.0,19,,,,0.4335222840628895,1.3241688417336908,0.282734832715253,3609,,,,,2290532,,
2024-01-04,33,1966.3176995988115,2194.898790912001,20.0,20,,,,0.47193907800613144,1.3031416230789583,0.2609859994294643,3365,,,,,2362131,,
2024-01-05,,1785.7499999999998,69.59197792854386,,,,,,0.359198156898075,0.4230371967120388,0.27186041607235867,202,,,,,,,
2024-01-06,43,2033.387123632252,2133.163678227866,3.0,3,,,,0.5615003848383394,1.580661477713854,0.24614918012703066,3666,,,,,3239515,,
2024-01-07,,1785.7499999999998,105.69932976893305,,,,,,0.3368973251988557,0.4495310830235761,0.25011158278657,322,,,,,,,
2024-01-08,3,1799.8631585833334,90.2859535976586,,,,,,0.3566651043429694,0.38709771662528547,0.32623249202461146,268,,,,,184624,,
2024-01-09,8,1817.1772441051635,427.8675418719065,2.0,2,,,,0.5051637100334763,1.9115680820187024,0.30448366600104165,722,,,,,411122,,
2024-01-10,20,1874.6462700937016,1109.0456191262779,8.0,8,,,,0.7197373835880766,1.2958330689366155,0.24810088000106287,1791,,,,,1162914,,
2024-01-11,8,1819.1653604884532,410.05921461546484,1.0,1,,,,0.3338212054565777,1.3765542845717238,0.29360924935814736,780,,,,,437130,,
2024-01-12,8,1813.809830024324,494.1219936359223,2.0,2,,,,0.4352605116253902,1.3744881724916753,0.25011158278657,977,,,,,367070,,
2024-01-13,8,1825.818816328656,409.7412550547448,,,,,,0.3817824172843603,1.1387429581696271,0.27186041607235867,714,,,,,524167,,
2024-01-14,17,1888.0008027591339,1043.2046666468225,9.0,9,,,,0.41124617555378584,1.2818929988585788,0.2587944162610533,1609,,,,,1337614,,
2024-01-15,4,1804.7444841666666,215.36567776204282,,,,,,0.3482773031050657,0.8944738484915997,0.282734832715253,431,,,,,248480,,
2024-01-16,,1785.75,86.77784481029687,,,,,,0.3919234677093458,0.6919771358027106,0.25011158278657,329,,,,,,,
2024-01-17,,1785.7500000000002,11.091904975752234,,,,,,0.4719516732898991,0.4719516732898991,0.4719516732898991,58,,,,,,,
2024-01-18,19,1871.863274602487,1048.4896591459585,9.0,9,,,,0.3971470136821578,1.2776428086441238,0.2609859904888809,1654,,,,,1126508,,
2024-01-19,2,1789.633213140625,49.91781907348273,,,,,,0.3722175034200695,0.4182025197750915,0.3262324870650475,175,,,,,50799,,
2024-01-20,3,1785.7500000000002,191.25777176743398,,,,,,0.3233330334264548,0.9006814765092915,0.27186041607235867,467,,,,,,,
2024-01-21,16,1893.3514858871524,1401.5934965790555,17.0,11,,,,1.1418996929023233,2.408222917775847,0.32623248410219113,1754,,,,,420011,441494,
2024-01-22,17,1866.385115617555,1016.6818559583638,8.0,8,,,,0.535377078785772,1.3763138572588585,0.27186041607235867,1584,,,,,1054844,,
2024-01-23,15,1849.1924819577685,1134.2640985533342,9.0,9,,,,0.545140739173368,1.6494800960883256,0.30448366600104165,1646,,,,,829936,,
2024-01-24,1,1800.7226803958333,107.2531197589445,,,,,,0.46317065497765364,0.5382602255874916,0.2662399841949033,416,,,,,195868,,
2024-01-25,3,1785.75,308.8155925737195,,,,,,0.8165292231464781,2.8795213633048653,0.25011158278657,612,,,,,,,
2024-01-26,16,1860.9325530804265,1264.1408325358032,9.0,9,,,,0.34483674392694713,1.8667941481975672,0.2609859994294643,1823,,,,,983226,,
2024-01-27,17,1863.7462534947917,1044.9358320719305,8.0,8,,,,0.4223481390053477,1.3782956776248965,0.350647992282134,1757,,,,,1020323,,
2024-01-28,16,1871.5502129908075,1092.3705956791057,7.0,7,,,,0.31584465657478206,1.326496345149779,0.25011158278657,1803,,,,,1122412,,
2024-01-29,16,1859.1230749375002,994.9126174114958,7.0,7,,,,0.34330694920288385,1.3384158777861546,0.30448366600104165,1499,,,,,959844,,
2024-01-30,,1785.7500000000005,34.58064492440402,,,,,,0.37855019671728574,0.4308679093323803,0.32623248410219113,153,,,,,,,
2024-01-31,7,1824.034648729167,312.5678863317096,,,,,,0.7509421205397574,1.188278145823022,0.3240548553576226,579,,,,,500828,,
2024-02-01,27,1854.3195474889478,1720.8583225209716,11.0,9,,,,0.6807085320823657,2.8558879613102457,0.3262324870650475,2502,,,,,886207,,
2024-02-02,26,1910.2252528289898,1504.486309114553,10.0,10,,,,0.6460019528286131,1.8406439130644694,0.31280956813744143,2300,,,,,1628348,,
2024-02-03,3,1788.3411020416668,156.19271525015378,,,,,,0.33784320179653704,1.722932771061878,0.2477013908165594,416,,,,,33896,,
2024-02-04,,1785.75,,,,,,,,,,58,,,,,,,
2024-02-05,9,1824.5955088802084,472.79324033093263,2.0,2,,,,0.3814492094450542,1.2675861221690832,0.25011158278657,813,,,,,508165,,
2024-02-06,7,1845.6433206354166,447.4230136730946,3.0,3,,,,0.44150232816291607,1.441691430717483,0.2608169292127512,737,,,,,783506,,
2024-02-07,7,1816.0131887383036,382.1548972977263,1.0,1,,,,0.6353971068664618,1.2429928004721684,0.30448366600104165,782,,,,,395894,,
2024-02-08,14,1866.6249492566224,1209.2077038161558,11.0,10,,,,0.334233666450771,1.744316092275515,0.25011158278657,1797,,,,,1057982,,
